set_name,set_topic,set_id,order_index,word,pronunciation,part_of_speech,level,definition_vi,definition_en,synonyms,antonyms,example_sentence
Sắc Thái Nghĩa & Thái Độ,Contextual Meaning,9f973041-795b-5de8-bb42-658b25ede43c,21,obscure,/əbˈskjʊər/,adjective,B2,"mờ ám, không rõ ràng, khó hiểu (sắc thái tiêu cực hoặc trung lập, chỉ sự thiếu sáng tỏ)",not clearly expressed or easily understood; vague or unclear,"unclear, vague, cryptic","clear, obvious",The author's obscure writing style made it difficult for readers to understand the main themes of the novel.
Sắc Thái Nghĩa & Thái Độ,Contextual Meaning,9f973041-795b-5de8-bb42-658b25ede43c,22,meticulous,/məˈtɪkjələs/,adjective,B2,"tỉ mỉ, cẩn thận, chính xác (sắc thái tích cực, chỉ sự chú ý chi tiết)",showing great attention to detail; very careful and precise,"careful, precise, thorough","careless, sloppy",The researcher's meticulous documentation of the experiment ensured that other scientists could replicate the results.
Sắc Thái Nghĩa & Thái Độ,Contextual Meaning,9f973041-795b-5de8-bb42-658b25ede43c,23,cynical,/ˈsɪnɪkl/,adjective,B2,"hoài nghi, bi quan, không tin tưởng (sắc thái tiêu cực, chỉ sự mất niềm tin)",believing that people are motivated by self-interest; distrusting human sincerity,"skeptical, distrustful, pessimistic","optimistic, trusting","The cynical journalist questioned the politician's motives, suspecting that his charitable donations were merely for publicity."
Sắc Thái Nghĩa & Thái Độ,Contextual Meaning,9f973041-795b-5de8-bb42-658b25ede43c,24,nuanced,/ˈnjuːænst/,adjective,B2,"có nhiều sắc thái tinh tế, không đơn giản hay tuyệt đối; thể hiện sự hiểu biết sâu sắc về các chi tiết phức tạp",characterized by subtle shades of meaning or expression; showing careful attention to detail and complexity,"subtle, refined, sophisticated","simplistic, crude","The author's nuanced portrayal of the protagonist reveals both strengths and weaknesses, avoiding black-and-white characterization."
Sắc Thái Nghĩa & Thái Độ,Contextual Meaning,9f973041-795b-5de8-bb42-658b25ede43c,25,undertone,/ˈʌndətəʊn/,noun,B2,"ý nghĩa tiềm ẩn, không được nói rõ ràng; cảm xúc hoặc thái độ ẩn chứa dưới lời nói bề ngoài",an underlying quality or feeling that is not directly expressed but can be detected,"implication, subtext, hint","explicit statement, overt meaning","Despite her polite words, there was an undertone of criticism in her remarks about the project."
Sắc Thái Nghĩa & Thái Độ,Contextual Meaning,9f973041-795b-5de8-bb42-658b25ede43c,26,disparaging,/dɪˈspærɪdʒɪŋ/,adjective,B2,"có tính chất xem thường, hạ thấp; thể hiện sự không tôn trọng hoặc coi thường ai/cái gì",expressing a lack of respect or esteem; showing disapproval or contempt,"derogatory, insulting, demeaning","complimentary, respectful","The critic made disparaging comments about the film's plot, calling it predictable and uninspired."
Sắc Thái Nghĩa & Thái Độ,Contextual Meaning,9f973041-795b-5de8-bb42-658b25ede43c,27,conciliatory,/kənˈsɪliətəri/,adjective,B2,"có tính chất hòa giải, làm dịu bớt mâu thuẫn; nhằm mục đích làm hòa bình hoặc giảm căng thẳng",intended to placate or appease; aimed at resolving conflict or reducing tension,"appeasing, pacifying, reconciliatory","antagonistic, provocative","After the heated argument, she adopted a conciliatory tone to rebuild trust with her colleague."
Sắc Thái Nghĩa & Thái Độ,Contextual Meaning,9f973041-795b-5de8-bb42-658b25ede43c,28,acerbic,/əˈsɜːbɪk/,adjective,B2,"cay đắng, sắc sảo, chứa đựng sarcasm hoặc phê phán gay gắt; có vị chua chát về cảm xúc","sharp and forthright, especially in manner or speech; bitter or sarcastic in tone","caustic, biting, sardonic","gentle, mild","The reviewer's acerbic wit made the article entertaining, though some readers found it unnecessarily harsh."
Sắc Thái Nghĩa & Thái Độ,Contextual Meaning,9f973041-795b-5de8-bb42-658b25ede43c,29,equivocal,/ɪˈkwɪvəkəl/,adjective,B2,"mơ hồ, không rõ ràng, có thể hiểu theo nhiều cách; không cam kết rõ ràng vào một立場",open to more than one interpretation; ambiguous or unclear in meaning,"ambiguous, unclear, indefinite","clear, definitive",The government's equivocal response to the scandal left the public uncertain about its true position.
Sắc Thái Nghĩa & Thái Độ,Contextual Meaning,9f973041-795b-5de8-bb42-658b25ede43c,30,insinuate,/ɪnˈsɪnjueɪt/,verb,B2,gợi ý một cách tinh tế hoặc gián tiếp;암시하다 một điều không tốt mà không nói rõ ràng,"to suggest or hint at something indirectly, often something negative or unpleasant","imply, suggest, hint","state, declare","By asking why she was late so often, he insinuated that she was unreliable without saying so directly."
Sắc Thái Nghĩa & Thái Độ,Contextual Meaning,9f973041-795b-5de8-bb42-658b25ede43c,31,condescending,/ˌkɒndɪˈsendɪŋ/,adjective,B2,"có thái độ coi thường, hạ mình để giao tiếp với người khác; thể hiện sự tự cho là cao hơn",showing an attitude of superiority; treating others as if they are inferior,"patronizing, supercilious, disdainful","respectful, humble",The professor's condescending remarks about students' questions discouraged participation in class.
Sắc Thái Nghĩa & Thái Độ,Contextual Meaning,9f973041-795b-5de8-bb42-658b25ede43c,32,sarcasm,/ˈsɑːkæzəm/,noun,C1,"lời nói mỉa mai, châm chọc; dùng lời lẽ trái ngược với ý thực để chế giễu hoặc phê phán",the use of irony to mock or convey contempt; a cutting remark made in a biting tone,"irony, mockery, derision","sincerity, earnestness","His comment 'Oh, great job!' was dripping with sarcasm when she spilled coffee on the report."
Sắc Thái Nghĩa & Thái Độ,Contextual Meaning,9f973041-795b-5de8-bb42-658b25ede43c,33,allude to,/əˈluːd/,phrase,B2,"gợi ý, nhắc đến một cách gián tiếp; không nói rõ ràng mà chỉ hé mở về điều gì đó",to make an indirect or passing reference to something; to hint at without stating explicitly,"refer to, hint at, mention","state explicitly, declare outright",The author alluded to political corruption without naming specific officials or incidents.
Sắc Thái Nghĩa & Thái Độ,Contextual Meaning,9f973041-795b-5de8-bb42-658b25ede43c,34,forthright,/ˈfɔːθraɪt/,adjective,B2,"thẳng thắn, trực tiếp, không che giấu; nói lên sự thật một cách rõ ràng và can đảm",direct and honest in manner or speech; frank and straightforward without evasion,"frank, candid, direct","evasive, indirect","Her forthright assessment of the problem, though uncomfortable, helped the team address it effectively."
Sắc Thái Nghĩa & Thái Độ,Contextual Meaning,9f973041-795b-5de8-bb42-658b25ede43c,35,veiled,/veɪld/,adjective,B2,"che giấu, ẩn giấu; không được thể hiện rõ ràng mà được che đậy dưới hình thức khác",concealed or hidden; not openly expressed or stated; disguised,"concealed, hidden, disguised","overt, explicit",The politician's veiled criticism of his opponent was understood by the audience despite the diplomatic language.
Sắc Thái Nghĩa & Thái Độ,Contextual Meaning,9f973041-795b-5de8-bb42-658b25ede43c,36,bristle at,/ˈbrɪsəl/,phrase,B2,"phản ứng tức giận, bực bội; thể hiện sự không chấp nhận hoặc phẫn nộ đối với điều gì",to react with anger or irritation to something perceived as insulting or offensive,"take offense at, react angrily to, resent","accept gracefully, welcome",She bristled at the suggestion that women were less capable in technical fields.
Sắc Thái Nghĩa & Thái Độ,Contextual Meaning,9f973041-795b-5de8-bb42-658b25ede43c,37,overtone,/ˈəʊvətəʊn/,noun,B2,ý nghĩa hoặc cảm xúc ẩn chứa bên cạnh ý chính; sắc thái phụ của một lời nói hoặc hành động,a subtle quality or implication accompanying the main meaning; an underlying feeling or tone,"undertone, implication, nuance","explicit meaning, surface meaning","The speech had patriotic overtones, appealing to national pride while discussing economic reform."
Sắc Thái Nghĩa & Thái Độ,Contextual Meaning,9f973041-795b-5de8-bb42-658b25ede43c,38,intonation,/ˌɪntəˈneɪʃən/,noun,B2,"cách phát âm, nhấn giọng; sự thay đổi cao độ giọng nói để thể hiện ý nghĩa hoặc cảm xúc",the pattern of rise and fall in the pitch of the voice when speaking; the melody of speech,"tone, inflection, cadence",monotone,"Her intonation made the question sound like a statement, leaving no room for negotiation."
Sắc Thái Nghĩa & Thái Độ,Contextual Meaning,9f973041-795b-5de8-bb42-658b25ede43c,39,loaded question,/ˈləʊdɪd ˈkwestʃən/,phrase,B2,câu hỏi chứa đựng giả định hoặc thiên kiến; câu hỏi được thiết kế để dẫn dắt câu trả lời theo hướng mong muốn,a question that contains an implicit assumption or bias; a question designed to elicit a particular answer,"leading question, biased question","neutral question, open-ended question",The interviewer asked a loaded question: 'Don't you agree that this policy is obviously beneficial?' which presupposed agreement.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,0,download,/ˈdaʊnləʊd/,v,B1,"tải xuống (tập tin, ứng dụng từ internet)",to transfer data from a server or the internet to your computer or device,"retrieve, transfer",upload,Students can download the exam preparation materials from the official educational website at any time.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,1,upload,/ʌpˈləʊd/,v,B1,tải lên (tập tin lên internet),to transfer data from your computer to a server or the internet,"transfer, submit",download,Teachers require students to upload their assignments before the deadline on the learning management system.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,2,log in / log on,/lɒɡ ɪn/ /lɒɡ ɒn/,phrasal verb,B1,đăng nhập vào tài khoản hoặc hệ thống,to enter your username and password to access a computer system or online account,"sign in, access",log off,Candidates must log in to their accounts thirty minutes before the online examination officially commences.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,3,log out / log off,/lɒɡ ˈaʊt/ /lɒɡ ɒf/,phrasal verb,B1,đăng xuất khỏi tài khoản hoặc hệ thống,to exit your user account by closing the login session on a computer or device,"sign out, exit",log in,Remember to log off properly after completing your online test to protect your personal information.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,4,password,/ˈpɑːswɜːd/,n,B1,mật khẩu,a secret word or combination of characters that you use to access an account or system,"code, PIN",,Students should never share their passwords with anyone to prevent unauthorized access to their examination accounts.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,5,wireless,/ˈwaɪələs/,adj,B1,không dây,using radio signals to transmit data without physical cables or wires,"cordless, Wi-Fi",wired,The school provides wireless internet connectivity throughout all classrooms for students' educational research purposes.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,6,bandwidth,/ˈbændwɪdθ/,n,B2,băng thông (tốc độ truyền dữ liệu),the maximum amount of data that can be transmitted over an internet connection in a given time,"data rate, connection speed",,High bandwidth is essential for online learning platforms to stream video lectures and interactive content without lag.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,7,server,/ˈsɜːvə(r)/,n,B1,máy chủ,"a powerful computer that stores and distributes data, applications, or services over a network","host, mainframe",client,The examination system uses multiple redundant servers to ensure continuous access and prevent data loss during critical testing periods.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,8,browser,/ˈbraʊzə(r)/,n,B1,trình duyệt web,a software application that allows you to access and view websites on the internet,"web browser, navigator",,Students should use updated versions of web browsers like Chrome or Firefox to access the online examination portal reliably.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,9,cache,/kæʃ/,n,B2,bộ nhớ đệm,temporary storage of data on your computer to speed up loading of websites and applications,"buffer, temporary storage",,Clearing your browser cache regularly improves system performance and can resolve technical issues during online examinations.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,10,connectivity,/kəˌnek'tɪvəti/,n,B2,kết nối mạng,the state of being connected to the internet or a network; the quality of internet connection,"connection, network access","disconnection, offline",Stable connectivity is crucial for students taking online examinations to ensure their work is submitted without interruption.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,11,malware,/ˈmælweə(r)/,n,B2,phần mềm độc hại,"harmful software designed to damage, disable, or gain unauthorized access to a computer system","virus, spyware",antivirus,Schools must install robust antivirus protection to prevent malware infections that could compromise sensitive student examination data.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,12,firewall,/ˈfaɪəwɔːl/,n,B2,tường lửa (hệ thống bảo mật),a security system that monitors and controls incoming and outgoing network traffic to prevent unauthorized access,"security barrier, protection system",,Educational institutions implement firewalls to protect examination servers and confidential student information from cyber threats.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,13,encryption,/ɪnˈkrɪpʃn/,n,B2,mã hóa,the process of converting information into a code to prevent unauthorized access to sensitive data,"encoding, scrambling",decryption,Online examination platforms use advanced encryption technology to protect students' personal data and examination answers.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,14,cloud storage,/klaʊd ˈstɔːrɪdʒ/,phrase,B2,lưu trữ trên đám mây,the practice of storing data on remote servers accessed through the internet rather than on local devices,"online storage, remote backup",local storage,Students often use cloud storage services to access their study materials and assignment files from any device anywhere.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,15,app / application,/æp/ /ˌæplɪˈkeɪʃn/,n,B1,ứng dụng,"a software program designed to perform specific functions or tasks on a computer, smartphone, or tablet","software, program",,Educational institutions develop mobile applications that enable students to access examination schedules and results conveniently.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,16,click on,/klɪk ɒn/,phrasal verb,B1,nhấp chuột vào (một nút hoặc liên kết),to press a computer mouse button to select or activate something on a screen or open a link,"press, select",,Candidates should carefully click on the submit button only once to confirm their final examination answers.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,17,hang / freeze,/hæŋ/ /friːz/,v,B1,đơ (khi máy tính không phản ứng),when a computer or application becomes unresponsive and stops functioning temporarily,"crash, stop responding","function, operate","If the examination system freezes during the test, students should immediately contact the examination administrator for technical assistance."
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,18,back up / backup,/bæk ʌp/ /ˈbækʌp/,phrasal verb / n,B2,sao lưu / bản sao lưu,to make a copy of data to prevent loss; a copy of data stored for safety purposes,"save, copy",,Universities maintain regular backups of examination databases to ensure no student data is lost due to system failures.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,19,digital footprint,/ˈdɪdʒɪtl ˈfʊtprɪnt/,phrase,B2,Dấu vết kỹ thuật số; tổng hợp thông tin cá nhân được lưu lại trên internet qua các hoạt động trực tuyến,The trail of data and information left behind by a person's online activities,"online presence, digital trail",,Teenagers should be aware of their digital footprint and think carefully before posting on social media.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,20,phishing,/ˈfɪʃɪŋ/,noun,B2,Lừa đảo trực tuyến; kỹ thuật giả mạo để lấy thông tin nhạy cảm như mật khẩu hoặc dữ liệu tài chính,A fraudulent attempt to obtain sensitive information by disguising communication as a trustworthy source,"scam, fraud",,"Email phishing attacks have become increasingly sophisticated, targeting both individuals and large corporations."
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,21,streaming,/ˈstriːmɪŋ/,noun,C1,Phát trực tuyến; truyền dữ liệu âm thanh hoặc video liên tục qua internet mà không cần tải xuống hoàn toàn,The continuous transmission of audio or video data over the internet for immediate playback,"live broadcast, on-demand playback",,Video streaming services like Netflix have revolutionized how people consume entertainment content.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,22,algorithm,/ˈælɡərɪðəm/,noun,B2,Thuật toán; tập hợp các quy tắc hoặc hướng dẫn được máy tính thực hiện để giải quyết vấn đề,A step-by-step procedure or formula used by computers to solve problems or perform tasks,"procedure, formula",,Social media platforms use complex algorithms to determine which content appears in users' feeds.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,23,metadata,/ˈmetədeɪtə/,noun,B2,"Dữ liệu về dữ liệu; thông tin mô tả các đặc tính của tệp hoặc nội dung như ngày tạo, tác giả, kích thước","Data that provides information about other data, such as file creation date, author, or size","file information, data attributes",,Photographers should be aware that metadata embedded in their images can reveal location and camera details.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,24,interface,/ˈɪntərfeɪs/,noun,C1,Giao diện; bề mặt hoặc hệ thống cho phép người dùng tương tác với máy tính hoặc ứng dụng,The point of interaction between a user and a computer system or application,"user interface, display",,A well-designed interface makes software intuitive and easy for users to navigate.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,25,data breach,/ˈdeɪtə briːtʃ/,phrase,B2,Vi phạm dữ liệu; sự truy cập trái phép hoặc tiết lộ thông tin cá nhân hoặc bảo mật,An unauthorized access or disclosure of confidential or personal information,"security breach, data leak",,The company announced a major data breach affecting millions of customer accounts and personal information.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,26,cybersecurity,/ˌsaɪbərsiˈkjʊərɪti/,noun,B2,An ninh mạng; các biện pháp bảo vệ hệ thống máy tính và dữ liệu khỏi các cuộc tấn công trực tuyến,Protection of computer systems and networks from digital attacks and unauthorized access,"network security, information security",,Organizations must invest in robust cybersecurity measures to protect sensitive business data.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,27,url,/ˌjuː ɑːr ˈel/,noun,C1,Địa chỉ web; đường dẫn đầy đủ để truy cập một trang web hoặc tài nguyên trên internet,The web address that specifies the location of a resource on the internet,"web address, link",,Users should verify the URL in their browser's address bar before entering sensitive information.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,28,spam,/spæm/,noun,C1,Thư rác; tin nhắn không mong muốn hoặc quảng cáo được gửi hàng loạt qua email hoặc mạng xã hội,"Unsolicited or unwanted messages, typically advertisements, sent in bulk via email or messaging platforms","junk mail, unsolicited message",,Most email providers have spam filters to automatically detect and remove unwanted messages.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,29,hyperlink,/ˈhaɪpərlɪŋk/,noun,C1,Siêu liên kết; liên kết có thể nhấp được trên trang web hoặc tài liệu dẫn đến một tài nguyên khác,A clickable link in a document or webpage that directs users to another resource or webpage,"link, web link",,The article contains several hyperlinks to related research papers and external sources.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,30,virtual reality,/ˈvɜːtʃuəl riˈæləti/,phrase,B2,Thực tế ảo; môi trường được tạo bởi máy tính mô phỏng thế giới thực hoặc tưởng tượng,A computer-generated simulation of a three-dimensional environment that users can interact with,"VR, immersive technology",,Virtual reality technology is increasingly used in medical training and architectural visualization.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,31,augmented reality,/ɔːɡˈmentɪd riˈæləti/,phrase,B2,Thực tế tăng cường; công nghệ kết hợp các yếu tố kỹ thuật số với thế giới thực qua thiết bị,Technology that overlays digital information and objects onto the real world viewed through a device,"AR, mixed reality",,Augmented reality applications allow customers to visualize furniture in their homes before purchasing.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,32,artificial intelligence,/ɑːrˈtɪfɪʃl ɪnˈtelɪdʒəns/,phrase,B2,Trí tuệ nhân tạo; khả năng của máy tính thực hiện các nhiệm vụ yêu cầu trí thông minh con người,"The simulation of human intelligence processes by computer systems, including learning and problem-solving","AI, machine intelligence",,Artificial intelligence is transforming industries from healthcare to transportation and finance.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,33,machine learning,/məˈʃiːn ˈlɜːnɪŋ/,phrase,B2,Học máy; kỹ thuật cho phép máy tính học từ dữ liệu và cải thiện hiệu suất mà không cần lập trình rõ ràng,A subset of AI that enables systems to learn and improve from experience without explicit programming,"automated learning, adaptive systems",,Machine learning algorithms power recommendation systems on streaming platforms and e-commerce sites.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,34,cryptocurrency,/ˌkrɪptoʊˈkɜːrənsi/,noun,B2,Tiền điện tử; tiền kỹ thuật số sử dụng mã hóa để bảo mật giao dịch và kiểm soát tạo ra các đơn vị mới,Digital currency that uses cryptography to secure transactions and control the creation of new units,"digital currency, virtual money",,Bitcoin and Ethereum are among the most well-known cryptocurrencies in the global market.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,35,blockchain,/ˈblɑːktʃeɪn/,noun,B2,"Chuỗi khối; công nghệ ghi lại dữ liệu trong các khối được liên kết và mã hóa, thường dùng cho tiền điện tử","A distributed ledger technology that records transactions in linked, cryptographically secured blocks","distributed ledger, decentralized database",,Blockchain technology ensures transparency and security in cryptocurrency transactions and supply chain management.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,36,iot,/ˌaɪ oʊ ˈtiː/,noun,B2,Internet vạn vật; mạng lưới các thiết bị vật lý được kết nối với internet để trao đổi dữ liệu,A network of physical devices embedded with sensors and software that connect and exchange data over the internet,"Internet of Things, connected devices",,IoT devices such as smart home systems and wearable technology are becoming increasingly common in daily life.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,37,api,/ˌeɪ piː ˈaɪ/,noun,B2,Giao diện lập trình ứng dụng; bộ quy tắc cho phép các ứng dụng khác nhau giao tiếp và chia sẻ dữ liệu,A set of protocols and tools that allows different software applications to communicate and share data,"interface protocol, software interface",,Developers use APIs to integrate third-party services and data into their applications.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,38,cyberbullying,/ˌsaɪbərˈbʊliɪŋ/,noun,B2,"Bắt nạt trực tuyến; hành vi qu騷rối, đe dọa hoặc xúc phạm người khác thông qua internet hoặc mạng xã hội","Harassment, intimidation, or abuse directed at individuals through digital platforms and online communication","online harassment, digital abuse",,Schools are implementing programs to educate students about the serious consequences of cyberbullying.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,39,latency,/ˈleɪtənsi/,noun,B2,"độ trễ, khoảng thời gian chậm trễ giữa khi gửi dữ liệu và khi nhận được phản hồi trong mạng",the delay between sending a request and receiving a response in a network,"delay, lag, response time","speed, immediacy",High latency in online gaming can cause significant delays in player actions and reduce competitive performance.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,40,bandwidth throttling,/ˈbændwɪdθ ˈθrɒtəlɪŋ/,phrase,B2,"giới hạn tốc độ kết nối internet, thường do nhà cung cấp dịch vụ thực hiện để kiểm soát lưu lượng",intentional slowing of internet speed by service providers to manage network traffic,"speed limiting, rate limiting","speed boost, acceleration",Some internet service providers implement bandwidth throttling during peak hours to prevent network congestion.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,41,two-factor authentication,/ˌtuː ˈfæktər ɔːˌθentɪˈkeɪʃən/,phrase,B2,"xác thực hai yếu tố, phương pháp bảo mật yêu cầu hai hình thức xác minh khác nhau để truy cập tài khoản",a security method requiring two different forms of verification to access an account,"2FA, multi-factor authentication",single-factor authentication,Banks now recommend enabling two-factor authentication on all accounts to prevent unauthorized access.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,42,proxy server,/ˈprɒksi ˈsɜːvər/,noun,B2,"máy chủ trung gian, đứng giữa người dùng và internet để ẩn danh tính hoặc lọc nội dung",an intermediary server that acts as a gateway between a user and the internet,"intermediary server, gateway",direct connection,Companies often use proxy servers to monitor employee internet usage and block access to inappropriate websites.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,43,cookie,/ˈkʊki/,noun,C1,tệp nhỏ được lưu trên máy tính người dùng để ghi nhớ thông tin về phiên duyệt web,a small file stored on a user's device that remembers information about their browsing session,"tracking file, session data",,Websites use cookies to remember your login information and personalize your browsing experience.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,44,dns resolution,/ˌdiː en ˈes rezəˈluːʃən/,phrase,B2,quá trình chuyển đổi tên miền thành địa chỉ IP để máy tính có thể kết nối đến máy chủ,the process of converting a domain name into its corresponding IP address,"domain lookup, name resolution",,Slow DNS resolution can cause websites to load slowly even if your internet connection is fast.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,45,packet loss,/ˈpækɪt lɔːs/,noun,B2,"mất gói dữ liệu, tình trạng một số gói dữ liệu không đến được đích trong quá trình truyền",the failure of data packets to reach their destination during transmission over a network,"data loss, transmission failure",successful transmission,Excessive packet loss during video calls can result in audio dropouts and frozen video frames.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,46,vpn (virtual private network),/ˌviː piː ˈen/,noun,B2,"mạng riêng ảo, công nghệ mã hóa kết nối để bảo vệ quyền riêng tư và ẩn danh tính trực tuyến",a secure encrypted connection that masks a user's IP address and protects online privacy,"secure tunnel, encrypted connection","public network, unencrypted connection",Travelers often use a VPN when connecting to public Wi-Fi networks to protect their sensitive data from hackers.
Kỹ thuật số & Internet,Digital & Internet,a0089f93-f323-5770-9159-8a6d438364b0,47,session timeout,/ˈseʃən ˈtaɪmaʊt/,noun,B2,"hết phiên, khi hệ thống tự động đăng xuất người dùng sau một khoảng thời gian không hoạt động",automatic disconnection of a user session after a period of inactivity,"auto-logout, inactivity timeout",persistent session,"For security reasons, online banking platforms implement session timeout to prevent unauthorized access to unattended devices."
Film & Cinema Vocabulary,Film and Cinema,a217d42a-d1dc-4010-9e4a-2e86bbc60d99,0,blockbuster,/ˈblɒkˌbʌs.tər/,noun,B2,"phim bom tấn, phim ăn khách",a film that is a big commercial success,"hit, smash hit",,"The latest Marvel movie is expected to be a blockbuster, breaking all box office records."
Film & Cinema Vocabulary,Film and Cinema,a217d42a-d1dc-4010-9e4a-2e86bbc60d99,1,sequel,/ˈsiː.kwəl/,noun,B2,"phần tiếp theo (của phim, sách)",a film or book that continues the story of an earlier one,continuation,,Fans are eagerly awaiting the sequel to the critically acclaimed science fiction film.
Film & Cinema Vocabulary,Film and Cinema,a217d42a-d1dc-4010-9e4a-2e86bbc60d99,2,prequel,/ˈpriː.kwəl/,noun,B2,"phần trước (của phim, sách)",a film or book that tells the story of events that happened before an earlier one,,,The film's prequel explored the origins of the main character's powers.
Film & Cinema Vocabulary,Film and Cinema,a217d42a-d1dc-4010-9e4a-2e86bbc60d99,3,remake,/ˈriː.meɪk/,noun,B2,bản làm lại (của phim),a new version of a film that was made before,reimagining,,The director decided to do a remake of the classic horror film with a modern twist.
Film & Cinema Vocabulary,Film and Cinema,a217d42a-d1dc-4010-9e4a-2e86bbc60d99,4,adaptation,/ˌæd.æpˈteɪ.ʃən/,noun,B2,"sự chuyển thể (sách, kịch thành phim)",a film or TV programme based on a book or play,version,,The film is a faithful adaptation of the best-selling novel.
Film & Cinema Vocabulary,Film and Cinema,a217d42a-d1dc-4010-9e4a-2e86bbc60d99,5,genre,/ˈʒɒn.rə/,noun,B2,"thể loại (phim, nhạc)","a type of film, television programme, or music that has a particular style or set of characteristics","category, type",,"My favorite film genre is science fiction, especially those with complex plots."
Film & Cinema Vocabulary,Film and Cinema,a217d42a-d1dc-4010-9e4a-2e86bbc60d99,6,cinematography,/ˌsɪn.ə.məˈtɒɡ.rə.fi/,noun,B2,nghệ thuật quay phim,the art or science of motion-picture photography,"filmmaking, photography",,The film's stunning cinematography captured the beauty of the natural landscape.
Film & Cinema Vocabulary,Film and Cinema,a217d42a-d1dc-4010-9e4a-2e86bbc60d99,7,soundtrack,/ˈsaʊn.træk/,noun,B2,nhạc phim,the music of a film,"score, music",,The soundtrack of the movie won an award for its emotional depth and originality.
